,artist_name,pop_artist,tot_followers,track_name,avail_mark,rel_date,pop_track,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,hit,featuring,search,rel_month,rel_day,week_day_out
34,Jawsh 685,74,100461,Savage Love (Laxed - Siren Beat),178,2020-06-11,82,0.234,0.767,171375,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761,1,0,Jawsh 685 Savage Love (Laxed - Siren Beat),6,11,3
35,Chris Brown,91,14040747,No Guidance (feat. Drake),178,2019-06-28,80,0.123,0.696,260640,0.454,0.0,0.155,-6.756,0.153,92.928,4,0.136,1,1,Chris Brown No Guidance (feat. Drake),6,28,4
36,Camila Cabello,86,22598524,My Oh My (feat. DaBaby),178,2019-12-06,78,0.018,0.724,170746,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4,0.383,1,1,Camila Cabello My Oh My (feat. DaBaby),12,6,4
37,BTS,99,36851515,Dynamite,176,2020-11-20,89,0.0112,0.746,199054,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,1,0,BTS Dynamite,11,20,4
38,Chris Brown,91,14040747,Go Crazy,178,2020-05-08,80,0.316,0.755,176960,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581,1,0,Chris Brown Go Crazy,5,8,4
39,Roddy Ricch,88,6575724,High Fashion (feat. Mustard),178,2019-12-06,77,0.269,0.831,220487,0.499,0.0,0.3,-8.442,0.114,97.956,4,0.511,1,1,Roddy Ricch High Fashion (feat. Mustard),12,6,4
40,Drake,98,56206656,Laugh Now Cry Later (feat. Lil Durk),178,2020-08-14,83,0.244,0.761,261493,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4,0.522,1,1,Drake Laugh Now Cry Later (feat. Lil Durk),8,14,4
41,Lil Baby,94,7762659,Woah,173,2019-11-08,68,0.0177,0.882,183011,0.602,0.0,0.178,-5.554,0.245,142.959,4,0.43,1,0,Lil Baby Woah,11,8,4
42,Powfu,79,920957,death bed (coffee for your head),178,2020-02-08,85,0.731,0.726,173333,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348,1,0,Powfu death bed (coffee for your head),2,8,5
43,Shawn Mendes,89,33795693,Señorita,178,2019-06-21,82,0.037,0.759,190960,0.54,0.0,0.0945,-6.039,0.0287,116.947,4,0.75,1,0,Shawn Mendes Señorita,6,21,4
44,Travis Scott,94,17644313,HIGHEST IN THE ROOM,178,2019-10-04,84,0.0546,0.598,175721,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,0.0605,1,0,Travis Scott HIGHEST IN THE ROOM,10,4,4
45,Various Artists,0,1244844,bad guy,91,2021-08-11,0,0.328,0.701,194088,0.425,0.13,0.1,-10.965,0.375,135.128,4,0.562,1,0,Various Artists bad guy,8,11,2
46,24kGoldn,85,1263105,Mood (feat. iann dior),178,2021-03-26,89,0.174,0.701,140533,0.716,0.0,0.324,-3.671,0.0361,91.007,4,0.732,1,1,24kGoldn Mood (feat. iann dior),3,26,4
47,Lady Gaga,89,18491820,Rain On Me (with Ariana Grande),177,2020-05-22,79,0.021,0.672,182200,0.855,0.0,0.323,-3.764,0.0397,123.056,4,0.646,1,0,Lady Gaga Rain On Me (with Ariana Grande),5,22,4
48,Pop Smoke,94,6757307,For The Night (feat. Lil Baby & DaBaby),178,2020-07-03,84,0.114,0.823,190476,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347,1,1,Pop Smoke For The Night (feat. Lil Baby & DaBaby),7,3,4
49,Black Eyed Peas,85,5947968,RITMO (Bad Boys For Life),177,2019-10-12,78,0.0334,0.721,221714,0.716,0.00084,0.237,-7.037,0.0657,104.994,4,0.667,1,0,Black Eyed Peas RITMO (Bad Boys For Life),10,12,5
50,Rod Wave,80,2183117,Heart On Ice,178,2019-06-14,71,0.0513,0.733,159670,0.389,0.0,0.141,-8.468,0.0738,157.878,3,0.244,1,0,Rod Wave Heart On Ice,6,14,4
51,Blake Shelton,77,5919769,Nobody But You (Duet with Gwen Stefani),178,2019-12-13,69,0.111,0.463,194867,0.653,0.000136,0.172,-5.515,0.0273,143.912,4,0.233,1,0,Blake Shelton Nobody But You (Duet with Gwen Stefani),12,13,4
52,SHAED,69,138825,Trampoline,178,2018-09-21,67,0.488,0.689,184060,0.412,0.00016,0.0659,-7.523,0.0301,126.754,4,0.537,1,0,SHAED Trampoline,9,21,4
53,Juice WRLD,95,18991621,Come & Go (with Marshmello),178,2020-07-10,82,0.0172,0.625,205485,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,1,0,Juice WRLD Come & Go (with Marshmello),7,10,4
54,Lizzo,78,3969090,Truth Hurts,178,2019-04-19,76,0.11,0.715,173325,0.624,0.0,0.123,-3.046,0.114,158.087,4,0.412,1,0,Lizzo Truth Hurts,4,19,4
55,JP Saxe,76,279217,If the World Was Ending - feat. Julia Michaels,177,2019-10-17,82,0.866,0.464,208687,0.473,0.0,0.109,-10.086,0.129,75.801,4,0.604,1,1,JP Saxe If the World Was Ending - feat. Julia Michaels,10,17,3
56,Lil Baby,94,7762659,We Paid (feat. 42 Dugg),178,2020-05-01,76,0.135,0.926,181929,0.542,0.0,0.0877,-5.064,0.293,135.14,4,0.564,1,1,Lil Baby We Paid (feat. 42 Dugg),5,1,4
57,Various Artists,0,1244844,Yummy,91,2021-08-11,0,0.345,0.677,208520,0.506,0.0,0.118,-6.652,0.0964,145.843,4,0.497,1,0,Various Artists Yummy,8,11,2
58,Old Dominion,74,1036611,One Man Band,178,2019-10-25,75,0.677,0.706,186240,0.358,0.0,0.107,-8.331,0.0347,75.991,4,0.478,1,0,Old Dominion One Man Band,10,25,4
59,Jason Aldean,80,4677545,Got What I Got,178,2019-11-22,72,0.621,0.512,178147,0.58,1.72e-05,0.513,-6.658,0.029,159.847,3,0.303,1,0,Jason Aldean Got What I Got,11,22,4
60,Surfaces,78,722675,Sunday Best,178,2019-01-06,80,0.183,0.878,158571,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,0.694,1,0,Surfaces Sunday Best,1,6,6
61,Eminem,94,46620192,Godzilla (feat. Juice WRLD),173,2020-01-17,83,0.145,0.808,210800,0.745,0.0,0.292,-5.26,0.342,165.995,4,0.829,1,1,Eminem Godzilla (feat. Juice WRLD),1,17,4
62,Juice WRLD,95,18991621,Bandit (with YoungBoy Never Broke Again),178,2019-10-04,81,0.0687,0.474,189323,0.631,0.0,0.132,-5.884,0.343,180.051,4,0.425,1,0,Juice WRLD Bandit (with YoungBoy Never Broke Again),10,4,4
63,StaySolidRocky,69,150378,Party Girl,178,2020-04-21,77,0.749,0.728,147800,0.431,0.0,0.0996,-9.966,0.0622,130.022,4,0.629,1,0,StaySolidRocky Party Girl,4,21,1
64,Maddie & Tae,68,775211,Die From A Broken Heart,178,2020-04-10,69,0.373,0.596,188320,0.522,0.0,0.291,-6.633,0.0358,76.042,4,0.443,1,0,Maddie & Tae Die From A Broken Heart,4,10,4
65,DJ Khaled,84,6266404,POPSTAR (feat. Drake),178,2020-07-17,80,0.057,0.8,200221,0.56,0.0,0.134,-4.818,0.261,163.071,4,0.45,1,1,DJ Khaled POPSTAR (feat. Drake),7,17,4
66,Mariah Carey,80,6915064,All I Want for Christmas Is You,178,1994-11-01,65,0.164,0.336,241107,0.627,0.0,0.0708,-7.463,0.0384,150.273,4,0.35,1,0,Mariah Carey All I Want for Christmas Is You,11,1,1
67,Lee Brice,75,1554666,One Of Them Girls,178,2020-04-10,75,0.294,0.643,188893,0.79,0.0,0.107,-6.079,0.0462,95.987,4,0.8,1,0,Lee Brice One Of Them Girls,4,10,4
68,Sam Hunt,77,2109299,Hard To Forget,178,2020-04-03,70,0.23,0.689,204760,0.689,0.0,0.57,-5.517,0.045,130.069,4,0.664,1,0,Sam Hunt Hard To Forget,4,3,4
69,Luke Bryan,81,6616109,One Margarita,178,2020-03-13,70,0.0969,0.641,193427,0.842,0.0,0.169,-4.872,0.0464,89.997,4,0.738,1,0,Luke Bryan One Margarita,3,13,4
70,Lil Nas X,91,5398834,Panini,178,2019-09-13,73,0.342,0.703,114893,0.594,0.0,0.123,-6.146,0.0752,153.848,4,0.475,1,0,Lil Nas X Panini,9,13,4
71,Young Thug,91,6367454,Hot (feat. Gunna),178,2019-08-16,73,0.063,0.855,193027,0.651,0.0,0.0772,-8.044,0.235,111.997,4,0.559,1,1,Young Thug Hot (feat. Gunna),8,16,4
72,Carly Pearce,69,191383,I Hope You’re Happy Now,178,2020-02-14,70,0.168,0.591,198689,0.815,8.68e-06,0.142,-4.725,0.0366,118.024,4,0.306,1,0,Carly Pearce I Hope You’re Happy Now,2,14,4
73,Lil Baby,94,7762659,Emotionally Scarred,173,2020-02-28,71,0.0286,0.585,197530,0.641,0.0,0.316,-4.269,0.133,88.284,4,0.266,1,0,Lil Baby Emotionally Scarred,2,28,4
74,YNW Melly,80,6299196,Suicidal (Remix) [feat. Juice WRLD],178,2020-03-13,76,0.474,0.655,225857,0.441,0.0,0.099,-5.245,0.0629,139.957,4,0.273,1,1,YNW Melly Suicidal (Remix) [feat. Juice WRLD],3,13,4
75,Lil Baby,94,7762659,The Bigger Picture,178,2020-06-12,70,0.0127,0.59,252729,0.618,0.0,0.244,-5.756,0.334,96.459,3,0.153,1,0,Lil Baby The Bigger Picture,6,12,4
76,Jonas Brothers,83,5418506,Only Human,178,2019-06-07,74,0.108,0.795,183000,0.496,0.0,0.0645,-5.883,0.0722,94.01,4,0.874,1,0,Jonas Brothers Only Human,6,7,4
77,Pop Smoke,94,6757307,The Woo (feat. 50 Cent & Roddy Ricch),178,2020-07-03,79,0.0221,0.49,201600,0.618,3.77e-06,0.259,-5.655,0.104,99.7,4,0.286,1,1,Pop Smoke The Woo (feat. 50 Cent & Roddy Ricch),7,3,4
78,Lil Baby,94,7762659,Sum 2 Prove,173,2020-01-10,71,0.0174,0.823,205760,0.552,0.0,0.122,-7.57,0.324,124.038,4,0.418,1,0,Lil Baby Sum 2 Prove,1,10,4
79,Ariana Grande,95,66858451,Stuck with U (with Justin Bieber),178,2020-05-08,83,0.223,0.597,228482,0.45,0.0,0.382,-6.658,0.0418,178.765,3,0.537,1,0,Ariana Grande Stuck with U (with Justin Bieber),5,8,4
80,Pop Smoke,94,6757307,Mood Swings (feat. Lil Tjay),178,2020-07-03,82,0.487,0.48,213333,0.602,0.0,0.0848,-6.335,0.368,179.798,4,0.269,1,1,Pop Smoke Mood Swings (feat. Lil Tjay),7,3,4
81,Halsey,88,15614007,You should be sad,176,2020-01-17,76,0.143,0.591,205473,0.585,0.0,0.109,-6.35,0.0277,110.94,4,0.324,1,0,Halsey You should be sad,1,17,4
82,Pop Smoke,94,6757307,Dior,173,2019-07-26,83,0.212,0.548,216387,0.805,0.000389,0.408,-5.732,0.351,142.094,4,0.648,1,0,Pop Smoke Dior,7,26,4
83,BENEE,73,637290,Supalonely,173,2019-11-15,77,0.305,0.863,223480,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817,1,0,BENEE Supalonely,11,15,4
84,Luke Combs,85,5336949,Even Though I'm Leaving,178,2019-11-08,71,0.225,0.554,225253,0.755,0.0,0.301,-6.04,0.0319,77.962,4,0.624,1,0,Luke Combs Even Though I'm Leaving,11,8,4
85,THE SCOTTS,68,179062,THE SCOTTS,178,2020-04-24,79,0.233,0.716,165978,0.537,0.0,0.157,-7.648,0.0514,129.979,4,0.28,1,0,THE SCOTTS THE SCOTTS,4,24,4
86,Doja Cat,97,8462405,Juicy,178,2019-11-07,73,0.102,0.786,203093,0.652,0.0,0.0697,-2.607,0.0669,170.031,4,0.483,1,0,Doja Cat Juicy,11,7,3
87,Kane Brown,81,3496421,Homesick,178,2019-11-01,68,0.46,0.701,205400,0.5,0.0,0.234,-8.82,0.0303,97.028,4,0.409,1,0,Kane Brown Homesick,11,1,4
88,Rod Wave,80,2183117,Rags2Riches 2 (feat. Lil Baby),177,2020-08-07,71,0.147,0.874,235988,0.443,0.0,0.124,-9.628,0.241,118.004,4,0.298,1,1,Rod Wave Rags2Riches 2 (feat. Lil Baby),8,7,4
89,Miranda Lambert,77,2820050,Bluebird,178,2019-11-01,72,0.038,0.661,209760,0.633,2.75e-06,0.124,-5.986,0.0348,81.984,4,0.613,1,0,Miranda Lambert Bluebird,11,1,4
90,Juice WRLD,95,18991621,Wishing Well,178,2020-07-10,83,0.00336,0.65,194621,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804,1,0,Juice WRLD Wishing Well,7,10,4
91,Luke Combs,85,5336949,Does To Me (feat. Eric Church),178,2019-11-08,69,0.311,0.616,223320,0.849,0.0,0.311,-4.897,0.0373,113.065,4,0.638,1,1,Luke Combs Does To Me (feat. Eric Church),11,8,4
92,Jhené Aiko,82,4705103,P*$$Y Fairy (OTW),173,2020-01-17,70,0.536,0.572,181860,0.519,0.0,0.102,-7.092,0.212,128.331,4,0.35,1,0,Jhené Aiko P*$$Y Fairy (OTW),1,17,4
93,Surf Mesa,72,132736,ily (i love you baby) (feat. Emilee),178,2019-11-26,82,0.0686,0.674,176547,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33,1,1,Surf Mesa ily (i love you baby) (feat. Emilee),11,26,1
94,Morgan Wallen,87,2122158,More Than My Hometown,178,2021-01-08,75,0.615,0.62,216573,0.869,0.0,0.131,-5.479,0.0462,126.019,4,0.597,1,0,Morgan Wallen More Than My Hometown,1,8,4
95,Luke Combs,85,5336949,Lovin' On You,178,2019-11-08,71,0.00165,0.572,194867,0.949,0.000195,0.163,-4.865,0.06,118.974,4,0.53,1,0,Luke Combs Lovin' On You,11,8,4
96,Moneybagg Yo,83,2239308,Said Sum,178,2020-09-18,70,0.0185,0.929,155168,0.667,0.0,0.1,-6.789,0.353,126.998,4,0.274,1,0,Moneybagg Yo Said Sum,9,18,4
97,H.E.R.,82,4119563,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",178,2020-01-17,73,0.0145,0.816,296011,0.513,0.000102,0.14,-8.363,0.244,96.981,4,0.17,1,1,"H.E.R. Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",1,17,4
98,Roddy Ricch,88,6575724,Walk Em Down (feat. Roddy Ricch),178,2020-03-19,74,0.268,0.867,173288,0.744,0.0,0.0713,-5.171,0.227,84.005,4,0.645,1,1,Roddy Ricch Walk Em Down (feat. Roddy Ricch),3,19,3
99,Lil Nas X,91,5398834,Old Town Road - Remix,178,2019-06-21,80,0.0533,0.878,157067,0.619,0.0,0.113,-5.56,0.102,136.041,4,0.639,1,0,Lil Nas X Old Town Road - Remix,6,21,4
100,Various Artists,0,1244844,Sunflower - Spider-Man: Into the Spider-Verse,178,2018-12-14,82,0.556,0.76,158040,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,0.913,1,0,Various Artists Sunflower - Spider-Man: Into the Spider-Verse,12,14,4
101,Halsey,88,15614007,Without Me,172,2018-10-04,79,0.297,0.752,201661,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4,0.533,1,0,Halsey Without Me,10,4,3
103,Post Malone,93,33582906,Wow.,173,2019-09-06,80,0.136,0.829,149547,0.539,1.78e-06,0.103,-7.359,0.208,99.96,4,0.388,1,0,Post Malone Wow.,9,6,4
104,Marshmello,89,31476925,Happier,178,2018-08-17,82,0.191,0.687,214290,0.792,0.0,0.167,-2.749,0.0452,100.015,4,0.671,1,0,Marshmello Happier,8,17,4
105,Ariana Grande,95,66858451,7 rings,173,2019-02-08,84,0.592,0.778,178627,0.317,0.0,0.0881,-10.732,0.334,140.048,4,0.327,1,0,Ariana Grande 7 rings,2,8,4
106,Khalid,91,14168258,Talk (feat. Disclosure),178,2019-04-05,73,0.0516,0.9,197573,0.4,0.0,0.0599,-8.575,0.127,135.984,4,0.346,1,1,Khalid Talk (feat. Disclosure),4,5,4
107,Travis Scott,94,17644313,SICKO MODE,178,2018-08-03,83,0.00513,0.834,312820,0.73,0.0,0.124,-3.714,0.222,155.008,4,0.446,1,0,Travis Scott SICKO MODE,8,3,4
108,Jonas Brothers,83,5418506,Sucker,178,2019-06-07,81,0.0427,0.842,181027,0.734,0.0,0.106,-5.065,0.0588,137.958,4,0.952,1,0,Jonas Brothers Sucker,6,7,4
109,Panic! At The Disco,83,10838495,High Hopes,178,2018-06-22,81,0.193,0.579,190947,0.904,0.0,0.064,-2.729,0.0618,82.014,4,0.681,1,0,Panic! At The Disco High Hopes,6,22,4
110,Ariana Grande,95,66858451,"thank u, next",173,2019-02-08,82,0.229,0.717,207320,0.653,0.0,0.101,-5.634,0.0658,106.966,4,0.412,1,0,"Ariana Grande thank u, next",2,8,4
112,Sam Smith,87,17040536,Dancing With A Stranger (with Normani),178,2019-01-11,78,0.45,0.741,171030,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4,0.347,1,0,Sam Smith Dancing With A Stranger (with Normani),1,11,4
114,Various Artists,0,1244844,I Don't Care - Acoustic,147,2021-08-06,0,0.793,0.705,238220,0.35,0.0,0.108,-8.126,0.0301,94.059,4,0.643,1,0,Various Artists I Don't Care - Acoustic,8,6,4
115,benny blanco,79,802300,Eastside (with Halsey & Khalid),178,2018-07-12,77,0.555,0.56,173800,0.68,0.0,0.116,-7.648,0.321,89.391,4,0.319,1,0,benny blanco Eastside (with Halsey & Khalid),7,12,3
116,Meek Mill,81,5224069,Going Bad (feat. Drake),178,2018-11-30,79,0.259,0.889,180522,0.496,0.0,0.252,-6.365,0.0905,86.003,4,0.544,1,1,Meek Mill Going Bad (feat. Drake),11,30,4
117,Lady Gaga,89,18491820,Shallow,173,2018-10-05,83,0.371,0.572,215733,0.385,0.0,0.231,-6.362,0.0308,95.799,4,0.323,1,0,Lady Gaga Shallow,10,5,4
118,Khalid,91,14168258,Better,170,2018-10-18,77,0.0765,0.596,229320,0.552,0.334,0.104,-10.278,0.097,97.949,4,0.112,1,0,Khalid Better,10,18,3
120,Maroon 5,91,32165441,Girls Like You (feat. Cardi B),3,2018-06-15,66,0.568,0.851,235545,0.541,0.0,0.13,-6.825,0.0505,124.959,4,0.448,1,1,Maroon 5 Girls Like You (feat. Cardi B),6,15,4
121,Ava Max,85,3879872,Sweet but Psycho,178,2020-09-18,81,0.0684,0.72,187436,0.706,0.0,0.166,-4.719,0.0473,133.002,4,0.62,1,0,Ava Max Sweet but Psycho,9,18,4
122,DaBaby,94,7544268,Suge,176,2019-03-01,76,0.0608,0.876,163320,0.662,0.0,0.127,-6.482,0.426,75.445,4,0.844,1,0,DaBaby Suge,3,1,4
123,J. Cole,91,14055775,MIDDLE CHILD,173,2019-01-23,79,0.149,0.837,213594,0.364,0.0,0.271,-11.713,0.276,123.984,4,0.463,1,0,J. Cole MIDDLE CHILD,1,23,2
124,Lil Baby,94,7762659,Drip Too Hard (Lil Baby & Gunna),176,2018-10-05,80,0.0852,0.897,145543,0.662,0.0,0.534,-6.903,0.292,112.511,4,0.389,1,0,Lil Baby Drip Too Hard (Lil Baby & Gunna),10,5,4
126,Various Artists,0,1244844,If I Can't Have You,95,2021-08-03,1,0.524,0.69,190800,0.809,0.0,0.147,-4.198,0.0603,123.912,4,0.864,1,0,Various Artists If I Can't Have You,8,3,1
127,Post Malone,93,33582906,Goodbyes (feat. Young Thug),173,2019-09-06,78,0.456,0.548,174853,0.653,0.0,0.103,-3.875,0.081,150.068,4,0.163,1,1,Post Malone Goodbyes (feat. Young Thug),9,6,4
128,Kodak Black,84,7194262,ZEZE (feat. Travis Scott & Offset),178,2018-12-14,78,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0.176,98.043,4,0.504,1,1,Kodak Black ZEZE (feat. Travis Scott & Offset),12,14,4
129,Post Malone,93,33582906,Better Now,173,2018-04-27,81,0.331,0.68,231267,0.578,0.0,0.135,-5.804,0.04,145.038,4,0.341,1,0,Post Malone Better Now,4,27,4
130,5 Seconds of Summer,83,7724108,Youngblood,173,2018-06-15,80,0.0169,0.596,203418,0.854,0.0,0.124,-5.114,0.463,120.274,4,0.152,1,0,5 Seconds of Summer Youngblood,6,15,4
131,Drake,98,56206656,Money In The Grave (Drake ft. Rick Ross),173,2019-06-15,78,0.101,0.831,205427,0.502,0.0,0.122,-4.045,0.046,100.541,4,0.101,1,0,Drake Money In The Grave (Drake ft. Rick Ross),6,15,5
